lizard_id,lizard_id,position,species,trt,clutch,hatch_date,mass,SVL,TL,Day,Sex,food_ingested,lat_to_move,lat_to_shelter,lat_move_to_shelter,Emerged_after,emerged_40min,notes
LD1255_22,1255,A1,delicata,A_23,CL334_22,23/12/2022,0.655,34,49,Before,Male,22,12,2434,2422,0,NA,
LD1382_22,1382,A1,delicata,B_28,CL373_22,16/12/2022,0.606,34,41,Before,Female,18,108,110,2,0,0,
LD1410_22,1410,A1,delicata,A_28,CL379_22,14/12/2022,0.726,35,57,Before,Female,33,242,394,152,1,1,
LD2073_22,2073,A1,delicata,B_23,CL560_22,15/2/2023,0.524,29,33,Before,Male,11,39,55,16,0,0,Autotomized
LG1373_22,1373,A2,guichenoti,A_28,CL370_22,14/12/2022,0.588,31,40,Before,Female,26,26,36,10,1,1,Autotomized; empty
LG1478_22,1478,A2,guichenoti,B_23,CL400_22,18/1/2023,0.684,32,47,Before,Male,37,208,266,58,1,1,
LG2298_22,2298,A2,guichenoti,B_28,CL619_23,10/2/2023,0.453,29,40,Before,Female,23,320,324,4,0,0,Thanatosis
LD1207_22,1207,A3,delicata,B_23,CL320_22,16/12/2022,0.649,32,48,Before,Female,19,12,40,28,0,0,Empty
LD1381_22,1381,A3,delicata,A_28,CL373_22,12/12/2022,0.607,32,43,Before,Male,14,7,315,308,0,0,Autotomized
LD1401_22,1401,A3,delicata,B_28,CL377_22,19/12/2022,0.495,29,38,Before,Female,12,137,342,205,0,0,
LG1283_22,1283,A4,guichenoti,A_23,CL344_22,28/12/2022,0.665,31,46,Before,Female,21,0,71,71,1,1,Empty
LG1562_22,1562,A4,guichenoti,B_28,CL423_22,2/1/2023,0.603,31,24,Before,Female,13,2,3,1,0,0,Autotomized; empty
LG1609_22,1609,A4,guichenoti,A_28,CL437_22,2/1/2023,0.701,32,49,Before,Female,30,2,1109,1107,1,1,Empty
LG1276_22,1276,B1,guichenoti,A_28,CL341_22,5/12/2022,0.79,34,54,Before,Female,40,8,104,96,0,0,Empty
LG1438_22,1438,B1,guichenoti,B_28,CL386_22,21/12/2022,0.669,34,50,Before,Male,24,287,617,330,0,0,Male; empty
LD1198_22,1198,B2,delicata,A_23,CL318_22,14/12/2022,0.773,36,46,Before,Male,20,15,31,16,0,0,Male; empty; autotomized
LD1233_22,1233,B2,delicata,B_23,CL327_22,19/12/2022,0.68,32,50,Before,Female,31,40,470,430,0,0,Empty
LD1240_22,1240,B2,delicata,A_28,CL330_22,2/12/2022,0.712,34,55,Before,Female,40,232,334,102,0,0,Empty
LD1284_22,1284,B2,guichenoti,B_28,CL345_22,5/12/2022,0.598,32,44,Before,Male,35,12,32,20,0,0,
LG1432_22,1432,B3,guichenoti,B_23,CL385_22,9/1/2023,0.72,32,48,Before,Male,12,121,437,316,1,1,Empty
LG2047_22,2047,B3,guichenoti,A_23,CL552_22,17/2/2023,0.444,29,34,Before,Male,12,15,16,1,1,1,Autotomized
LD1205_22,1205,B4,delicata,A_28,CL320_22,28/11/2022,0.666,33,44,Before,Male,31,4,6,2,1,0,Autotomized; empty
LD1296_22,1296,B4,delicata,B_23,CL348_22,26/12/2022,0.64,31,42,Before,Female,10,23,95,72,0,0,
LD1399_22,1399,B4,delicata,A_23,CL377_22,6/1/2023,0.718,32,51,Before,Male,16,8,914,906,1,0,
LG1366_22,1366,C1,guichenoti,A_28,CL368_22,7/12/2022,0.54,30,21,Before,Female,30,2,13,11,1,1,Autotomized
LG1374_22,1374,C1,guichenoti,B_23,CL371_22,6/1/2023,0.661,32,50,Before,Male,28,211,249,38,1,1,Empty
LG1463_22,1463,C1,guichenoti,B_28,CL396_22,23/12/2022,0.599,32,38,Before,Female,36,417,437,20,0,0,Autotomized
LD1202_22,1202,C2,delicata,B_28,CL319_22,30/11/2022,0.674,33,53,Before,Male,25,260,362,102,0,0,Empty
LD1322_22,1322,C2,delicata,B_23,CL356_22,26/12/2022,0.63,32,47,Before,Male,15,235,1543,1308,1,1,Empty
LD2205_22,2205,C2,delicata,A_28,CL595_22,3/2/2023,0.56,32,53,Before,Male,27,234,268,34,0,0,
LG1611_22,1611,C3,guichenoti,B_28,CL438_22,4/1/2023,0.681,32,40,Before,Female,31,56,135,79,0,0,Empty
LD1222_22,1222,C4,delicata,A_28,CL325_22,30/11/2022,0.641,33,52,Before,Female,12,78,522,444,0,0,Empty
LD1390_22,1390,C4,delicata,A_23,CL374_22,2/1/2023,0.645,33,52,Before,Male,31,25,116,91,0,0,Empty
LD1454_22,1454,C4,delicata,B_28,CL392_22,19/12/2022,0.646,33,43,Before,Female,26,43,215,172,0,0,Empty
LD2105_22,2105,C4,delicata,B_23,CL569_22,13/2/2023,0.423,28,34,Before,Female,21,43,302,259,0,0,
LG1177_22,1177,D1,guichenoti,A_23,CL314_22,9/12/2022,0.587,31,46,Before,Male,24,157,1093,936,0,0,Empty
LG1358_22,1358,D1,guichenoti,B_28,CL365_22,5/12/2022,0.811,36,57,Before,Female,36,13,59,46,1,0,Hormone Dripped; Twin Lizards?
LG1479_22,1479,D1,guichenoti,A_28,CL400_22,26/12/2022,0.664,32,46,Before,Female,27,2,6,4,1,1,Empty
LD1303_22,1303,D2,delicata,B_23,CL350_22,21/12/2022,0.627,31,47,Before,Female,22,182,205,23,0,0,Empty
LD1531_22,1531,D2,delicata,A_23,CL414_22,18/1/2023,0.619,32,38,Before,Male,25,56,150,94,1,1,Autotomized; empty
LG1371_22,1371,D3,guichenoti,A_23,CL370_22,9/1/2023,0.641,33,44,Before,Male,35,21,284,263,1,1,Empty
LG1459_22,1459,D3,guichenoti,B_23,CL394_22,11/1/2023,0.561,31,45,Before,Male,21,75,118,43,0,0,
