"","lizard","temp","cort","species","food_ingested","Before","After","delta_mass","rescaled_delta_mass"
"1",1255,"23","A","delicata",22,0.655,0.748,0.093,NA
"2",1382,"28","B","delicata",18,0.606,0.647,0.041,NA
"3",1410,"28","A","delicata",33,0.726,0.87,0.144,NA
"4",2073,"23","B","delicata",11,0.524,0.529,0.005,NA
"5",1373,"28","A","guichenoti",26,0.588,NA,NA,NA
"6",1478,"23","B","guichenoti",37,0.684,0.853,0.169,NA
"7",2298,"28","B","guichenoti",23,0.453,0.618,0.165,NA
"8",1207,"23","B","delicata",19,0.649,0.739,0.09,NA
"9",1381,"28","A","delicata",14,0.607,0.709,0.102,NA
"10",1401,"28","B","delicata",12,0.495,0.508,0.013,NA
"11",1283,"23","A","guichenoti",21,0.665,0.764,0.099,NA
"12",1562,"28","B","guichenoti",13,0.603,0.695,0.092,NA
"13",1609,"28","A","guichenoti",30,0.701,0.916,0.215,NA
"14",1276,"28","A","guichenoti",40,0.79,0.964,0.174,NA
"15",1438,"28","B","guichenoti",24,0.669,0.754,0.085,NA
"16",1198,"23","A","delicata",20,0.773,0.818,0.0449999999999999,NA
"17",1233,"23","B","delicata",31,0.68,0.808,0.128,NA
"18",1240,"28","A","delicata",40,0.712,0.901,0.189,NA
"19",1284,"28","B","guichenoti",35,0.598,0.787,0.189,NA
"20",1432,"23","B","guichenoti",12,0.72,0.735,0.015,NA
"21",2047,"23","A","guichenoti",12,0.444,0.492,0.048,NA
"22",1205,"28","A","delicata",31,0.666,0.833,0.167,NA
"23",1296,"23","B","delicata",10,0.64,0.651,0.011,NA
"24",1399,"23","A","delicata",16,0.718,0.734,0.016,NA
"25",1366,"28","A","guichenoti",30,0.54,0.728,0.188,NA
"26",1374,"23","B","guichenoti",28,0.661,0.81,0.149,NA
"27",1463,"28","B","guichenoti",36,0.599,0.76,0.161,NA
"28",1202,"28","B","delicata",25,0.674,0.859,0.185,NA
"29",1322,"23","B","delicata",15,0.63,0.741,0.111,NA
"30",2205,"28","A","delicata",27,0.56,0.739,0.179,NA
"31",1611,"28","B","guichenoti",31,0.681,0.861,0.18,NA
"32",1222,"28","A","delicata",12,0.641,0.713,0.072,NA
"33",1390,"23","A","delicata",31,0.645,0.734,0.089,NA
"34",1454,"28","B","delicata",26,0.646,0.805,0.159,NA
"35",2105,"23","B","delicata",21,0.423,0.489,0.066,NA
"36",1177,"23","A","guichenoti",24,0.587,0.729,0.142,NA
"37",1358,"28","B","guichenoti",36,0.811,1.025,0.214,NA
"38",1479,"28","A","guichenoti",27,0.664,0.824,0.16,NA
"39",1303,"23","B","delicata",22,0.627,0.715,0.088,NA
"40",1531,"23","A","delicata",25,0.619,0.75,0.131,NA
"41",1371,"23","A","guichenoti",35,0.641,0.813,0.172,NA
"42",1459,"23","B","guichenoti",21,0.561,0.69,0.129,NA
"43",1166,"28","A","delicata",27,0.669,0.828,0.159,NA
"44",1192,"23","A","delicata",26,0.678,0.833,0.155,NA
"45",1229,"28","B","delicata",20,0.803,0.923,0.12,NA
"46",1257,"23","B","delicata",40,0.756,0.971,0.215,NA
"47",1442,"23","B","guichenoti",11,0.429,0.501,0.072,NA
"48",1565,"28","B","guichenoti",14,0.607,0.654,0.047,NA
"49",1174,"23","A","delicata",19,0.778,0.823,0.0449999999999999,NA
"50",1185,"23","B","delicata",12,0.71,0.739,0.029,NA
"51",1402,"28","A","delicata",19,0.669,0.779,0.11,NA
"52",2255,"28","B","delicata",9,0.416,0.488,0.072,NA
"53",1218,"28","A","guichenoti",15,0.578,0.665,0.0870000000000001,NA
"54",1443,"23","A","guichenoti",20,0.603,0.772,0.169,NA
"55",2164,"23","B","guichenoti",5,0.445,0.48,0.035,NA
"56",1172,"28","B","delicata",9,0.566,0.483,-0.083,NA
"57",1239,"23","A","delicata",9,0.658,0.668,0.01,NA
"58",2346,"23","B","delicata",8,0.376,0.408,0.032,NA
"59",1230,"28","B","delicata",28,0.712,0.82,0.108,NA
"60",1487,"23","A","delicata",13,0.517,0.494,-0.023,NA
"61",2351,"28","A","delicata",6,0.7,0.627,-0.073,NA
"62",1419,"28","A","guichenoti",32,0.579,0.774,0.195,NA
"63",1534,"23","A","guichenoti",16,0.568,0.651,0.0830000000000001,NA
"64",1580,"28","B","guichenoti",21,0.75,0.81,0.0600000000000001,NA
"65",1613,"23","B","guichenoti",30,0.656,0.755,0.099,NA
"66",1182,"23","B","delicata",20,0.794,0.834,0.0399999999999999,NA
"67",1424,"23","A","delicata",30,0.719,0.877,0.158,NA
"68",2106,"28","A","delicata",16,0.518,0.596,0.078,NA
"69",2486,"28","B","delicata",10,0.551,0.561,0.01,NA
"70",1340,"28","B","guichenoti",16,0.655,0.689,0.0339999999999999,NA
"71",1417,"28","B","guichenoti",11,0.59,0.564,-0.026,NA
"72",1467,"28","A","guichenoti",20,0.824,0.929,0.105,NA
"73",1421,"23","B","guichenoti",24,0.79,0.804,0.014,NA
"74",1674,"23","B","guichenoti",23,0.692,0.792,0.1,NA
"75",2009,"28","A","guichenoti",39,0.845,1.041,0.196,NA
"76",1258,"28","A","delicata",18,0.69,0.708,0.018,NA
"77",1328,"23","A","delicata",20,0.752,0.816,0.0639999999999999,NA
"78",1408,"28","B","delicata",22,0.75,0.789,0.039,NA
"79",1360,"28","A","guichenoti",35,0.582,0.767,0.185,NA
"80",1795,"23","A","guichenoti",38,0.786,1.023,0.237,NA
"81",2081,"23","B","guichenoti",13,0.535,0.593,0.0579999999999999,NA
"82",1223,"23","A","delicata",12,0.566,0.575,0.00900000000000001,NA
"83",1334,"28","A","delicata",30,0.912,0.992,0.08,NA
"84",1619,"23","B","delicata",20,0.514,0.646,0.132,NA
"85",2242,"28","B","delicata",15,0.732,0.752,0.02,NA
"86",1373,"28","A","guichenoti",23,NA,0.713,NA,NA
