lizard_id,food_ingested,mass_before,mass_after,delta_mass
1255,22,655,748,93
1382,18,606,647,41
1410,33,726,870,144
2073,11,524,529,5
1478,37,684,853,169
2298,23,453,618,165
1207,19,649,739,90
1381,14,607,709,102
1401,12,495,508,13
1283,21,665,764,99
1562,13,603,695,92
1609,30,701,916,215
1276,40,790,964,174
1438,24,669,754,85
1198,20,773,818,45
1233,31,680,808,128
1240,40,712,901,189
1284,35,598,787,189
1432,12,720,735,15
2047,12,444,492,48
1205,31,666,833,167
1296,10,640,651,11
1399,16,718,734,16
1366,30,540,728,188
1374,28,661,810,149
1463,36,599,760,161
1202,25,674,859,185
1322,15,630,741,111
2205,27,560,739,179
1611,31,681,861,180
1222,12,641,713,72
1390,31,645,734,89
1454,26,646,805,159
2105,21,423,489,66
1177,24,587,729,142
1358,36,811,1025,214
1479,27,664,824,160
1303,22,627,715,88
1531,25,619,750,131
1371,35,641,813,172
1459,21,561,690,129
1166,27,669,828,159
1192,26,678,833,155
1229,20,803,923,120
1257,40,756,971,215
1442,11,429,501,72
1565,14,607,654,47
1174,19,778,823,45
1185,12,710,739,29
1402,19,669,779,110
2255,9,416,488,72
1218,15,578,665,87
1443,20,603,772,169
2164,5,445,480,35
1172,9,566,483,-83
1239,9,658,668,10
2346,8,376,408,32
1230,28,712,820,108
1487,13,517,494,-23
2351,6,700,627,-73
1419,32,579,774,195
1534,16,568,651,83
1580,21,750,810,60
1613,30,656,755,99
1182,20,794,834,40
1424,30,719,877,158
2106,16,518,596,78
2486,10,551,561,10
1340,16,655,689,34
1417,11,590,564,-26
1467,20,824,929,105
1421,24,790,804,14
1674,23,692,792,100
2009,39,845,1041,196
1258,18,690,708,18
1328,20,752,816,64
1408,22,750,789,39
1360,35,582,767,185
1795,38,786,1023,237
2081,13,535,593,58
1223,12,566,575,9
1334,30,912,992,80
1619,20,514,646,132
2242,15,732,752,20
1373,26,588,713,125
