"","lizard_id","position","species","trt","clutch","hatch_date","date_start","age_start","sex","food_ingested","mass_before","mass_after","delta_mass","delta_mass_rescaled"
"1","1166","D4","delicata","Control-Hot","CL312_22","21/11/2022","20/7/2023",241,"Female",5.08235294117647,669,828,159,243
"2","1172","E4","delicata","CORT-Hot","CL313_22","16/11/2022","21/7/2023",247,"Male",-12.9176470588235,566,483,-83,1
"3","1174","E2","delicata","Control-Cold","CL313_22","2/12/2022","20/7/2023",230,"Male",-2.91764705882353,778,823,45,129
"4","1177","D1","guichenoti","Control-Cold","CL314_22","9/12/2022","21/7/2023",224,"Male",2.08235294117647,587,729,142,226
"5","1182","F3","delicata","CORT-Cold","CL315_22","12/12/2022","20/7/2023",220,"Male",-1.91764705882353,794,834,40,124
"6","1185","E2","delicata","CORT-Cold","CL316_22","14/12/2022","20/7/2023",218,"Male",-9.91764705882353,710,739,29,113
"7","1192","D4","delicata","Control-Cold","CL317_22","14/12/2022","20/7/2023",218,"Male",4.08235294117647,678,833,155,239
"8","1198","B2","delicata","Control-Cold","CL318_22","14/12/2022","21/7/2023",219,"Male",-1.91764705882353,773,818,45,129
"9","1202","C2","delicata","CORT-Hot","CL319_22","30/11/2022","20/7/2023",232,"Male",3.08235294117647,674,859,185,269
"10","1205","B4","delicata","Control-Hot","CL320_22","28/11/2022","20/7/2023",234,"Male",9.08235294117647,666,833,167,251
"11","1207","A3","delicata","CORT-Cold","CL320_22","16/12/2022","21/7/2023",217,"Female",-2.91764705882353,649,739,90,174
"12","1218","E3","guichenoti","Control-Hot","CL324_22","2/12/2022","21/7/2023",231,"Female",-6.91764705882353,578,665,87,171
"13","1222","C4","delicata","Control-Hot","CL325_22","30/11/2022","21/7/2023",233,"Female",-9.91764705882353,641,713,72,156
"14","1223","G4","delicata","Control-Cold","CL325_22","19/12/2022","21/7/2023",214,"Female",-9.91764705882353,566,575,9,93
"15","1229","D4","delicata","CORT-Hot","CL326_22","5/12/2022","20/7/2023",227,"Male",-1.91764705882353,803,923,120,204
"16","1230","F1","delicata","CORT-Hot","CL327_22","2/12/2022","21/7/2023",231,"Female",6.08235294117647,712,820,108,192
"17","1233","B2","delicata","CORT-Cold","CL327_22","19/12/2022","21/7/2023",214,"Female",9.08235294117647,680,808,128,212
"18","1239","E4","delicata","Control-Cold","CL329_22","21/12/2022","21/7/2023",212,"Female",-12.9176470588235,658,668,10,94
"19","1240","B2","delicata","Control-Hot","CL330_22","2/12/2022","21/7/2023",231,"Female",18.0823529411765,712,901,189,273
"20","1255","A1","delicata","Control-Cold","CL334_22","23/12/2022","20/7/2023",209,"Male",0.0823529411764703,655,748,93,177
"21","1257","D4","delicata","CORT-Cold","CL334_22","23/12/2022","20/7/2023",209,"Male",18.0823529411765,756,971,215,299
"22","1258","G2","delicata","Control-Hot","CL334_22","5/12/2022","20/7/2023",227,"Female",-3.91764705882353,690,708,18,102
"23","1276","B1","guichenoti","Control-Hot","CL341_22","5/12/2022","21/7/2023",228,"Female",18.0823529411765,790,964,174,258
"24","1283","A4","guichenoti","Control-Cold","CL344_22","28/12/2022","21/7/2023",205,"Female",-0.91764705882353,665,764,99,183
